order;name;label;parent;codesystem;code;ontologyTermURI;definition
;id;label;;ontology;;;description
;OCT;Optical Coherence Tomography (non-Ophthalmic);;DICOM;;;An acquisition device, process or method that uses an interferometric, non-invasive optical tomographic technique to image 2D slices and 3D volumes of tissue using visible and near visible frequencies.
;DG;Diaphanography;;DICOM;;;An acquisition device, process or method that performs diaphanography.
;RTSTRUCT;Radiotherapy Structure Set;;DICOM;;;A device, process or method that produces Radiotherapy Structure Sets.
;PT;Positron emission tomography (PET);;DICOM;;;An acquisition device, process or method that performs positron emission tomography (PET).
;LS;Laser surface scan;;DICOM;;;An acquisition device, process or method that performs laser surface scanning.
;RTIMAGE;Radiotherapy Image;;DICOM;;;"An acquisition device, process or method that performs radiotherapy imaging; includes portal imaging."
;PX;Panoramic X-Ray;;DICOM;;;An acquisition device, process or method that performs panoramic X-Rays.
;EPS;Cardiac Electrophysiology;;DICOM;;;An acquisition device, process or method that performs cardiac electrophysiology.
;OPM;Ophthalmic Mapping;;DICOM;;;An acquisition device, process or method that measures corneal topography, corneal or retinal thickness, and other similar parameters that are typically displayed as maps.
;OPT;Ophthalmic Tomography;;DICOM;;;An acquisition device, process or method that performs tomography of the eye that is based on light and optical principles. Tomography based on other principles, such as ultrasound, is excluded.
;DX;Digital Radiography;;DICOM;;;An acquisition device, process or method that performs digital radiography.
;OPV;Ophthalmic Visual Field;;DICOM;;;An acquisition device, process or method that measures visual fields and perform visual perimetry.
;RTRECORD;RT Treatment Record;;DICOM;;;A device, process or method that records radiotherapy treatment records.
;MG;Mammography;;DICOM;;;An acquisition device, process or method that performs mammography.
;US;Ultrasound;;DICOM;;;An acquisition device, process or method that performs ultrasound.
;IVOCT;Intravascular Optical Coherence Tomography;;DICOM;;;An acquisition device, process or method that performs intravascular optical coherence tomography
;MR;Magnetic Resonance;;DICOM;;;An acquisition device, process or method that performs magnetic resonance imaging.
;IO;Intra-Oral Radiography;;DICOM;;;An acquisition device, process or method that performs intra-oral radiography.
;IVUS;Intravascular Ultrasound;;DICOM;;;An acquisition device, process or method that performs intravascular ultrasound.
;VA;Visual Acuity;;DICOM;;;An acquisition device, process or method that measures visual acuity.
;ES;Endoscopy;;DICOM;;;An acquisition device, process or method that records images during endoscopy.
;AR;Autorefraction;;DICOM;;;An acquisition device, process or method that measures autorefraction.
;AU;Audio;;DICOM;;;An acquisition device, process or method that records audio.
;RF;Radio Fluoroscopy;;DICOM;;;An acquisition device, process or method that performs radiofluoroscopy.
;SEG;SEG Segmentation;;DICOM;;;An image processing device, process or method that performs segmentation.
;RG;Radiographic imaging (conventional film/screen);;DICOM;;;An acquisition device, process or method that performs radiographic imaging (conventional film/screen).
;KER;Keratometry;;DICOM;;;An acquisition device, process or method that performs keratometry.
;SMR;Stereometric Relationship;;DICOM;;;A device, process or method that records relationships between stereometric image pairs.
;OAM;Ophthalmic Axial Measurements;;DICOM;;;An acquisition device, process or method that measures the axial length of the eye.
;NM;Nuclear Medicine;;DICOM;;;An acquisition device, process or method that performs nuclear medicine imaging.
;SRF;Subjective Refraction;;DICOM;;;An acquisition device, process or method that records subjective refraction.
;BI;Biomagnetic imaging;;DICOM;;;An acquisition device, process or method that performs biomagnetic imaging.
;BMD;Bone Densitometry (X-Ray);;DICOM;;;An acquisition device, process or method that performs bone mineral densitometry by X-Ray, including dual-energy X-Ray absorptiometry (DXA) and morphometric X-Ray absorptiometry (MXA).
;RTPLAN;Radiotherapy Plan;;DICOM;;;A device, process or method that produces radiotherapy plans.
;SM;Slide Microscopy;;DICOM;;;An acquisition device, process or method that performs slide microscopy.
;SR;SR Document;;DICOM;;;A device, process or method that creates Structured Report documents.
;OP;Ophthalmic Photography;;DICOM;;;An acquisition device, process or method that performs ophthalmic photography.
;KO;Key Object Selection;;DICOM;;;A device, process or method that creates Key Object Selection objects.
;GM;General Microscopy;;DICOM;;;An acquisition device, process or method that performs general microscopy.
;IOL;Intraocular Lens Data;;DICOM;;;
;ECG;Electrocardiography;;DICOM;;;An acquisition device, process or method that performs electrocardiography.
;XA;X-Ray Angiography;;DICOM;;;An acquisition device, process or method that performs X-Ray angiography.
;XC;External-camera Photography;;DICOM;;;An acquisition device, process or method that performs photography with an external camera.
;OSS;Optical Surface Scan;;DICOM;;;An acquisition device, process or method that performs optical surface scanning.
;CR;Computed Radiography;;DICOM;;;An acquisition device, process or method that performs computed radiography.
;CT;Computed Tomography;;DICOM;;;An acquisition device, process or method that performs computed tomography.
;RTDOSE;Radiotherapy Dose;;DICOM;;;A device, process or method that records radiotherapy dose.
;TG;Thermography;;DICOM;;;An acquisition device, process or method that performs thermography.
;LEN;Lensometry;;DICOM;;;An acquisition device, process or method that performs lensometry.
;REG;Registration;;DICOM;;;An image processing device, process or method that creates Registration objects.
;RESP;Respiratory Waveform;;DICOM;;;
;HC;Hard Copy;;DICOM;;;A device, process or method that creates images to be printed as hard copy.
;HD;Hemodynamic Waveform;;DICOM;;;An acquisition device, process or method that records hemodynamic waveforms.
;BDUS;Bone Densitometry (ultrasound);;DICOM;;;An acquisition device, process or method that performs ultrasound bone densitometry.