name,parent,description,order
Metadata,,Metadata,4
Routine healthcare data,,Routine healthcare data,1
Curated tables,,Curated tables,3
Surveillance,,Surveillance,2
Child,,,
Adult health-related characteristics,Child,,
Behavioral problem domains,Child,,
Birth outcomes,Child,,
Cognitive domains,Child,,
Exposures/Lifestyle/Environment,Child,,
Breastfeeding,Exposures/Lifestyle/Environment,,
Childcare,Exposures/Lifestyle/Environment,,
Family mental health,Exposures/Lifestyle/Environment,,
Passive smoking,Exposures/Lifestyle/Environment,,
Pets,Exposures/Lifestyle/Environment,,
Preschool multibehavioral profiles,Exposures/Lifestyle/Environment,,
Preschool outdoor play,Exposures/Lifestyle/Environment,,
Preschool screen times,Exposures/Lifestyle/Environment,,
Preschool sleep,Exposures/Lifestyle/Environment,,
Solid food introduction,Exposures/Lifestyle/Environment,,
Health-related characteritics,Child,,
Household Characteristics,,,
EUSILC-based household income,Household Characteristics,,
Family size,Household Characteristics,,
Family split up,Household Characteristics,,
Household income,Household Characteristics,,
Maternal Characteristics,,,
Diet,Maternal Characteristics,,
Health-related characteristics,Maternal Characteristics,,
Fever during pregnancy,Health-related characteristics,,
Maternal asthma,Health-related characteristics,,
Maternal diabetes,Health-related characteristics,,
Maternal height,Health-related characteristics,,
Maternal psychiatric disoders,Health-related characteristics,,
Maternal thyroid disorders,Health-related characteristics,,
Maternal weight,Health-related characteristics,,
Paternal asthma,Health-related characteristics,,
Paternal diabetes,Health-related characteristics,,
Paternal height,Health-related characteristics,,
Paternal psychiatric health,Health-related characteristics,,
Paternal weight,Health-related characteristics,,
Preeclampsia/gestational hypertension,Health-related characteristics,,
"Respiratory, allergy and skin characteristics",Health-related characteristics,,
Allergy,Health-related characteritics,,
Child's height,Health-related characteritics,,
Child's weight,Health-related characteritics,,
Death of child,Health-related characteritics,,
Skin,Health-related characteritics,,
Lifestyle Characteristics,Maternal Characteristics,,
Obstetric Characteristics,Maternal Characteristics,,
Socio-demographic characteristics,Maternal Characteristics,,
Meta variables,,,
Child id,Meta variables,,
Child number,Meta variables,,
Cohort id,Meta variables,,
Country of cohort,Meta variables,,
Mother id,Meta variables,,
Pregnancy number,Meta variables,,
Recruitment age,Meta variables,,
Urban area id,Meta variables,,
Paternal Characteristics,,,
Urban environment,,,
Air pollution,Urban environment,,
Build environment,Urban environment,,
Meteorology,Urban environment,,
Natural spaces,Urban environment,,
Noise,Urban environment,,
Social context,Urban environment,,
Traffic,Urban environment,,
Unhealthy food environment,Urban environment,,
Respiratory,Adult health-related characteristics,,
no2,Air pollution,,
nox,Air pollution,,
pm10,Air pollution,,
pm10cu,Air pollution,,
pm10fe,Air pollution,,
pm10k,Air pollution,,
pm10ni,Air pollution,,
pm10s,Air pollution,,
pm10si,Air pollution,,
pm10v,Air pollution,,
pm10zn,Air pollution,,
pm25,Air pollution,,
pm25abs,Air pollution,,
pm25cu,Air pollution,,
pm25fe,Air pollution,,
pm25k,Air pollution,,
pm25ni,Air pollution,,
pm25s,Air pollution,,
pm25si,Air pollution,,
pm25v,Air pollution,,
pm25zn,Air pollution,,
pmcoarse,Air pollution,,
Food,Allergic sensitization,,
Inhalant,Allergic sensitization,,
Allergic sensitization,Allergy,,
Anaphylaxis,Allergy,,
Any allergy,Allergy,,
Food allergy,Allergy,,
Inhalant allergy,Allergy,,
Urticaria,Allergy,,
Asthma medication,Asthma,,
ADHD Registry diagnosis,Behavioral problem domains,,
ADHD symptoms,Behavioral problem domains,,
ASD Registry diagnosis,Behavioral problem domains,,
Autism spectrum disorder symptoms,Behavioral problem domains,,
Externalizing problems,Behavioral problem domains,,
Internalizing problems,Behavioral problem domains,,
Apgar score,Birth outcomes,,
Birth head circumference,Birth outcomes,,
Birth length,Birth outcomes,,
Birth weight,Birth outcomes,,
Cerebral palsy,Birth outcomes,,
Congenital anomalies,Birth outcomes,,
Gestational age,Birth outcomes,,
Placenta weight,Birth outcomes,,
Plurality,Birth outcomes,,
Sex,Birth outcomes,,
Sibling position,Birth outcomes,,
Size for gestational age,Birth outcomes,,
Transferred to neonatal unit,Birth outcomes,,
Year and month of birth,Birth outcomes,,
access_to_public_transport_lines100,Build environment,,
access_to_public_transport_lines300,Build environment,,
access_to_public_transport_lines500,Build environment,,
access_to_public_transport_stops100,Build environment,,
access_to_public_transport_stops300,Build environment,,
access_to_public_transport_stops500,Build environment,,
building_density100,Build environment,,
building_density300,Build environment,,
connectivity_density100,Build environment,,
connectivity_density300,Build environment,,
facilities_density,Build environment,,
facilities_richness,Build environment,,
land_use_mix,Build environment,,
main_land_use_agricultural,Build environment,,
main_land_use_airports,Build environment,,
main_land_use_continuous_urban_fabric,Build environment,,
main_land_use_forests,Build environment,,
main_land_use_green_urban,Build environment,,
main_land_use_industrial,Build environment,,
main_land_use_low_density,Build environment,,
main_land_use_medium_urban_fabric,Build environment,,
main_land_use_other,Build environment,,
main_land_use_port,Build environment,,
main_land_use_transports,Build environment,,
main_land_use_water,Build environment,,
population_density,Build environment,,
walkability,Build environment,,
Fine motor,Cognitive domains,,
Gross motor,Cognitive domains,,
Language,Cognitive domains,,
Non-verbal intelligence,Cognitive domains,,
Working memory,Cognitive domains,,
DASH diet index,Diet,,
Food groups,Diet,,
Gestational week at dietary assessment,Diet,,
Method of dietary assessment,Diet,,
Nutrients,Diet,,
Preschool age,Diet,,
School age,Diet,,
Supplements,Diet,,
Absolute,FEF25,,
Z-score,FEF75,,
IgE,Food,,
Skin prick test,Food,,
Any food allergic sensitization,IgE,,
Any inhalant allergic sensitization,IgE,,
Cat,IgE,,
House dust mite,IgE,,
Mould,IgE,,
Rye,IgE,,
Folic acids supplementation,Lifestyle Characteristics,,
Maternal alcohol intake,Lifestyle Characteristics,,
Maternal smoking,Lifestyle Characteristics,,
Paternal smoking,Lifestyle Characteristics,,
FeNO,Lung function,,
Spirometry,Lung function,,
Anorexia nervosa,Maternal psychiatric disoders,,
Anxiety,Maternal psychiatric disoders,,
Any eating disorder,Maternal psychiatric disoders,,
Any psychiatric disorder,Maternal psychiatric disoders,,
Bulimia nervosa,Maternal psychiatric disoders,,
Depression,Maternal psychiatric disoders,,
DNA_damage_UV_dose,Meteorology,,
erythemal_UV_dose,Meteorology,,
land_surface_temperature,Meteorology,,
maximum_relative_humidity,Meteorology,,
maximum_temperature,Meteorology,,
mean_relative_humidity,Meteorology,,
mean_temperature,Meteorology,,
minimum_relative_humidity,Meteorology,,
minimum_temperature,Meteorology,,
vitamin_d_UV_dose,Meteorology,,
blue_access,Natural spaces,,
blue_distance,Natural spaces,,
blue_size,Natural spaces,,
green_access,Natural spaces,,
green_distance,Natural spaces,,
green_size,Natural spaces,,
ndvi100,Natural spaces,,
ndvi300,Natural spaces,,
ndvi500,Natural spaces,,
distance,Noise,,
lden,Noise,,
lden_categorical,Noise,,
ln,Noise,,
ln_categorical,Noise,,
Birth outcome,Obstetric Characteristics,,
Fertility treatment,Obstetric Characteristics,,
Maternal parity,Obstetric Characteristics,,
Mode of delivery,Obstetric Characteristics,,
Placental abruption,Obstetric Characteristics,,
Planned pregnancy,Obstetric Characteristics,,
Cats (any),Pets,,
Cats (number),Pets,,
Dogs (any),Pets,,
Dogs (number),Pets,,
Furry Pets,Pets,,
Dietary behavior,Preschool age,,
Exact age at dietary assessment,Preschool age,,
Asthma,Respiratory,,
Lung function,Respiratory,,
Respiratory tract infections,Respiratory,,
Wheezing,Respiratory,,
Lower respiratory tract infections,Respiratory tract infections,,
Upper respiratory tract infections,Respiratory tract infections,,
Eczema,Skin,,
Itchy rash,Skin,,
Chicken egg,Skin prick test,,
Cow milk,Skin prick test,,
Dog,Skin prick test,,
Fish,Skin prick test,,
Fruit,Skin prick test,,
Grass,Skin prick test,,
Nut,Skin prick test,,
Peanut,Skin prick test,,
Sesame,Skin prick test,,
Shellfish,Skin prick test,,
Tree,Skin prick test,,
Wheat,Skin prick test,,
area_level_ses_quintiles,Social context,,
area_level_ses_tertiles,Social context,,
Child's country of birth,Socio-demographic characteristics,,
Maternal age at birth,Socio-demographic characteristics,,
Maternal cohabitation status,Socio-demographic characteristics,,
Maternal country of birth,Socio-demographic characteristics,,
Maternal death,Socio-demographic characteristics,,
Maternal education (core),Socio-demographic characteristics,,
Maternal ethnicity,Socio-demographic characteristics,,
Maternal occupational code,Socio-demographic characteristics,,
Maternal occupational status,Socio-demographic characteristics,,
Paternal age at birth,Socio-demographic characteristics,,
Paternal country of birth,Socio-demographic characteristics,,
Paternal death,Socio-demographic characteristics,,
Paternal education (core),Socio-demographic characteristics,,
Paternal ethnicity,Socio-demographic characteristics,,
Paternal occupational code,Socio-demographic characteristics,,
Paternal occupational status,Socio-demographic characteristics,,
Bronchial hyperresponsiveness,Spirometry,,
FEF25,Spirometry,,
FEF50,Spirometry,,
FEF75,Spirometry,,
FEV1,Spirometry,,
FEV1/FVC,Spirometry,,
FVC,Spirometry,,
Reproducibility,Spirometry,,
traffic_density,Traffic,,
traffic_load_all_roads,Traffic,,
traffic_load_major_roads,Traffic,,
unhealthy_facilities_density,Unhealthy food environment,,
unhealthy_facilities_density_osm,Unhealthy food environment,,
